Geographic area,Female,Male,Total
Poland,19541.261,18380.324,37921.585
Puerto Rico,1594.272,1445.326,3039.598
Democratic People's Republic of Korea,13054.278,12495.328,25549.606
Portugal,5406.24,4849.952,10256.192
Paraguay,3419.02,3537.049,6956.069
State of Palestine,2396.361,2466.617,4862.978
French Polynesia,136.961,140.712,277.673
Qatar,681.381,2100.301,2781.682
Réunion,455.253,427.278,882.531
Romania,10015.167,9490.943,19506.11
Russian Federation,78203.451,67530.583,145734.034
Rwanda,6256.912,6045.057,12301.969
Saudi Arabia,14305.421,19397.336,33702.757
Senegal,8129.674,7724.65,15854.324
Singapore,2743.918,3013.585,5757.503
"Saint Helena, Ascension and Tristan da Cunha",,,6.039
Solomon Islands,320.909,331.947,652.856
Sierra Leone,3834.352,3815.797,7650.149
El Salvador,3410.312,3010.428,6420.74
San Marino,,,33.784
Somalia,7524.126,7484.099,15008.225
Saint Pierre and Miquelon,,,5.845
Serbia,4489.62,4313.121,8802.741
South Sudan,5483.166,5492.758,10975.924
Sao Tome and Principe,105.439,105.593,211.032
Suriname,286.364,289.623,575.987
Slovakia,2799.488,2653.529,5453.017
Slovenia,1044.013,1033.823,2077.836
Sweden,4980.408,4991.222,9971.63
Eswatini,581.192,555.082,1136.274
Seychelles,47.241,49.853,97.094
Syrian Arab Republic,8441.049,8504.013,16945.062
Turks and Caicos Islands,,,37.667
Chad,7752.004,7725.723,15477.727
Togo,3965.694,3923.401,7889.095
Thailand,35595.069,33833.385,69428.454
Tajikistan,4512.549,4588.298,9100.847
Tokelau,,,1.318
Turkmenistan,2969.961,2880.941,5850.902
Timor-Leste,627.121,640.854,1267.975
Tonga,51.586,51.613,103.199
Trinidad and Tobago,703.139,686.702,1389.841
Tunisia,5833.159,5732.044,11565.203
Turkey,41728.157,40611.933,82340.09
Tuvalu,,,11.505
"Other, non specified",11914.294,11812.166,23726.46
United Republic of Tanzania,28185.448,28127.996,56313.444
Uganda,21696.127,21032.905,42729.032
Ukraine,23754.767,20491.391,44246.158
Uruguay,1784.026,1665.264,3449.29
United States,165249.08,161847.183,327096.263
Uzbekistan,16282.725,16193.507,32476.232
Holy See,,,0.81
Saint Vincent and the Grenadines,54.233,55.977,110.21
Venezuela (Bolivarian Republic of),14626.489,14260.628,28887.117
British Virgin Islands,,,29.795
Virgin Islands U.S.,54.887,49.785,104.672
Viet Nam,47865.095,47680.864,95545.959
Vanuatu,144.256,148.419,292.675
Wallis and Futuna,,,11.653
Samoa,94.644,101.484,196.128
Yemen,14138.669,14360.014,28498.683
South Africa,29297.427,28495.093,57792.52
Zambia,8761.437,8590.277,17351.714
Zimbabwe,7559.693,6879.119,14438.812
